choice_0_0;choice_1_0;choice_2_0;choice_3_0;av_0_0;av_1_0;av_2_0;av_3_0;LADE_TANK_ZEIT_0_0;LADE_TANK_ZEIT_1_0;LADE_TANK_ZEIT_2_0;LADE_TANK_ZEIT_3_0;MEAN_HH_AGE_0_0;MEAN_HH_AGE_1_0;MEAN_HH_AGE_2_0;MEAN_HH_AGE_3_0;RELATIVER_KAUFPREIS_0_0;REICHWEITE_DURCH100_0_0;RELATIVER_KAUFPREIS_1_0;REICHWEITE_DURCH100_1_0;RELATIVER_KAUFPREIS_2_0;REICHWEITE_DURCH100_2_0;RELATIVER_KAUFPREIS_3_0;REICHWEITE_DURCH100_3_0
0;0;0;1;1;0;1;1;2;0;20;2;32.33333333;32.33333333;32.33333333;32.33333333;20;7;0;0;15.55555556;6.5;24.44444444;4
1;0;0;0;1;1;0;1;2;2;0;2;18;18;18;18;2.777777778;9;5.555555556;5;0;0;5;6
0;0;0;1;0;1;1;1;0;2;5;2;64.5;64.5;64.5;64.5;0;0;10.4;7;5.6;6.5;8;4
0;1;0;0;0;1;1;1;0;2;15;2;65.5;65.5;65.5;65.5;0;0;10.76923077;7;23.07692308;6.5;12.30769231;8
0;1;0;0;0;1;1;0;0;2;20;0;21;21;21;21;0;0;52;9;32;4.5;0;0
1;0;0;0;1;0;1;0;2;0;15;0;30.25;30.25;30.25;30.25;6.086956522;9;0;0;13.04347826;4.5;0;0
0;0;0;1;1;0;1;1;2;0;10;2;19.25;19.25;19.25;19.25;6.666666667;9;0;0;12;2.5;14.66666667;6
0;0;1;0;0;0;1;1;0;0;20;2;33.4;33.4;33.4;33.4;0;0;0;0;31.42857143;6.5;31.42857143;4
0;0;1;0;1;0;1;0;2;0;10;0;64;64;64;64;13.68421053;5;0;0;7.368421053;4.5;0;0
1;0;0;0;1;1;1;0;2;2;5;0;36.33333333;36.33333333;36.33333333;36.33333333;27.14285714;5;8.571428571;9;10;4.5;0;0
1;0;0;0;1;0;1;1;2;0;10;2;39.66666667;39.66666667;39.66666667;39.66666667;13.04347826;7;0;0;7.826086957;6.5;7.826086957;4
0;1;0;0;0;1;1;1;0;2;5;2;25;25;25;25;0;0;5.882352941;7;12.94117647;2.5;10.58823529;8
0;0;0;1;0;1;1;1;0;2;20;2;28.5;28.5;28.5;28.5;0;0;6.111111111;9;5;4.5;5;4
0;0;0;1;1;0;1;1;2;0;20;2;40;40;40;40;11.57894737;7;0;0;15.78947368;4.5;8.421052632;8
1;0;0;0;1;0;1;1;2;0;10;2;52;52;52;52;13.84615385;7;0;0;13.84615385;2.5;16.92307692;4
0;0;0;1;1;1;0;1;2;2;0;2;50;50;50;50;10.76923077;9;13.84615385;7;0;0;12.30769231;4
